127.0.0.1, 2015-03-07 10:56:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2015-03-07 10:56:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2015-03-07 10:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2015-03-07 10:56:54, GET, /storynode/default/index, HTTP/1.1, 404, 0.152520
127.0.0.1, 2015-03-07 10:56:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000563
127.0.0.1, 2015-03-07 10:56:58, GET, /admin/default/design/storynode, HTTP/1.1, 200, 0.117045
127.0.0.1, 2015-03-07 10:56:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2015-03-07 10:57:18, POST, /admin/default/create_file, HTTP/1.1, 303, 0.036217
127.0.0.1, 2015-03-07 10:57:18, GET, /admin/default/design/storynode, HTTP/1.1, 200, 0.348962
127.0.0.1, 2015-03-07 10:57:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000565
127.0.0.1, 2015-03-07 10:57:23, GET, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.043661
127.0.0.1, 2015-03-07 10:57:23, GET, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.041040
127.0.0.1, 2015-03-07 10:57:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2015-03-07 10:57:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.091607
127.0.0.1, 2015-03-07 10:57:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.177537
127.0.0.1, 2015-03-07 10:57:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.245277
127.0.0.1, 2015-03-07 10:57:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.188665
127.0.0.1, 2015-03-07 10:57:25, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 1.493111
127.0.0.1, 2015-03-07 10:58:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059058
127.0.0.1, 2015-03-07 10:58:23, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 0.183104
127.0.0.1, 2015-03-07 10:58:25, POST, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.023874
127.0.0.1, 2015-03-07 10:59:21, POST, /storynode/api/echo, HTTP/1.1, 200, 0.616464
127.0.0.1, 2015-03-07 10:59:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.181298
127.0.0.1, 2015-03-07 10:59:25, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 1.306267
127.0.0.1, 2015-03-07 10:59:47, POST, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.038135
127.0.0.1, 2015-03-07 10:59:51, POST, /storynode/api/echo, HTTP/1.1, 500, 2.248346
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/default/ticket/storynode/127.0.0.1.2015-03-07.10-59-49.b72852ad-9d36-4697-9a2e-6aa5cf4a5a6, HTTP/1.1, 303, 0.004202
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/default/index, HTTP/1.1, 200, 0.035040
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.000969
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.001727
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.002331
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001857
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.002618
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001168
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002673
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.005002
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003223
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003850
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001069
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003025
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2015-03-07 11:00:12, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000764
127.0.0.1, 2015-03-07 11:00:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2015-03-07 11:00:14, POST, /admin/default/index, HTTP/1.1, 303, 0.027120
127.0.0.1, 2015-03-07 11:00:14, GET, /admin/default/ticket/storynode/127.0.0.1.2015-03-07.10-59-49.b72852ad-9d36-4697-9a2e-6aa5cf4a5a6, HTTP/1.1, 200, 0.029056
127.0.0.1, 2015-03-07 11:00:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2015-03-07 11:00:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058696
127.0.0.1, 2015-03-07 11:00:24, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 0.195212
127.0.0.1, 2015-03-07 11:00:37, POST, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.031774
127.0.0.1, 2015-03-07 11:00:51, GET, /storynode/api/echo, HTTP/1.1, 500, 0.969791
127.0.0.1, 2015-03-07 11:00:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000509
127.0.0.1, 2015-03-07 11:00:53, GET, /admin/default/ticket/storynode/127.0.0.1.2015-03-07.11-00-50.d88bd37a-7f70-4474-a2a6-75c841c15acf, HTTP/1.1, 200, 0.043073
127.0.0.1, 2015-03-07 11:00:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2015-03-07 11:01:02, POST, /admin/default/edit/storynode/controllers/api.py, HTTP/1.1, 200, 0.084745
127.0.0.1, 2015-03-07 11:01:05, GET, /storynode/api/echo, HTTP/1.1, 200, 0.240766
